Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
3/15/2019,3/15/2019,162.51,97157250,16500,381,-2048,6458,22,-532,21932326,1.1499327,
3/22/2019,1/0/1900,159.28,112063440,13203,259,-807,5275,25,-424,20345314,1.099714228,
3/29/2019,3/29/2019,162,62092410,9377,250,-621,3207,11,-277,18758302,1.049495757,
4/5/2019,1/0/1900,167.279,88697429,11035,536,-403,5121,59,-300,18644597,1.16453767,
4/12/2019,4/15/2019,174.23,58942614,7591,242,-252,3457,24,-234,18530892,1.279579583,
4/19/2019,1/0/1900,176.87,43174378,6670,149,-380,3082,20,-225,20010977.5,1.121728566,
4/26/2019,4/30/2019,178.25,143973760,14758,980,-1393,6045,231,-717,21491063,0.963877549,
5/3/2019,1/0/1900,189.75,86509290,11587,280,-400,4914,34,-272,21111877,1.180129681,
5/10/2019,5/15/2019,184.59,67514310,9607,151,-310,3909,35,-286,20732691,1.396381813,
5/17/2019,1/0/1900,178.1,74496490,9109,289,-409,4477,31,-248,20717835.67,1.545287226,
5/24/2019,1/0/1900,179.67,48537516,6682,115,-251,3056,8,-191,20702980.33,1.694192638,
5/31/2019,5/31/2019,177.16,51228272,5724,85,-344,2412,4,-272,20688125,1.84309805,
6/7/2019,1/0/1900,160.84,150612520,9381,150,-606,3941,12,-304,22646600,1.461280796,
6/14/2019,6/14/2019,172.88,76607260,8157,183,-425,4081,28,-347,24605075,1.079463542,
6/21/2019,1/0/1900,184.411,125151430,19481,449,-371,5918,62,-212,23714717,1.114234033,
6/28/2019,6/28/2019,187.31,72493120,9569,190,-320,4456,25,-233,22824359,1.149004524,
7/5/2019,1/0/1900,191.93,44606039,6776,116,-335,2486,7,-145,24537152.5,1.549106293,
7/12/2019,7/15/2019,193.64,73835491,9205,221,-262,3625,16,-164,26249946,1.949208063,
7/19/2019,1/0/1900,198.07,63520190,12122,188,-518,5414,13,-325,25752386.5,1.674580328,
7/26/2019,7/31/2019,196.25,122985510,17533,861,-1747,8963,180,-1364,25254827,1.399952594,
8/2/2019,1/0/1900,188.07,75875320,7584,175,-351,2694,17,-226,25719830.5,1.535128488,
8/9/2019,8/15/2019,179.34,82556110,6410,106,-422,2969,7,-270,26184834,1.670304383,
8/16/2019,1/0/1900,179.31,69095060,6075,111,-246,3453,7,-208,25731799,1.85567637,
8/23/2019,1/0/1900,176.66,56286524,8367,149,-441,4521,29,-307,25278764,2.041048358,
8/30/2019,8/30/2019,178.24,53403899,5683,93,-200,2882,16,-116,24825729,2.226420345,
9/6/2019,1/0/1900,182.11,50170449,6441,102,-208,3654,15,-171,24941971,2.093815998,
9/13/2019,9/13/2019,184.55,64531200,6340,84,-279,3165,15,-201,25058213,1.961211652,
9/20/2019,1/0/1900,185.54,58904498,7510,100,-269,4346,10,-252,25115956.5,1.88886323,
9/27/2019,9/30/2019,175.66,82159190,7772,119,-314,4149,9,-253,25173700,1.816514809,
10/4/2019,1/0/1900,173.09,71832080,8968,112,-343,4850,11,-324,25681115.5,1.980987374,
10/11/2019,10/15/2019,177.72,50973664,6937,102,-315,3569,14,-208,26188531,2.145459939,
10/18/2019,1/0/1900,182.574,59463390,9226,180,-308,4242,15,-261,26236840,1.878391304,
10/25/2019,10/31/2019,181.5,60250162,13491,240,-556,7376,22,-487,26285149,1.61132267,
11/1/2019,1/0/1900,185.08,116786020,15256,808,-1055,8188,299,-726,27300943,1.836705383,
11/8/2019,1/0/1900,189.47,61371668,9179,153,-454,4879,29,-483,28316737,2.062088097,
11/15/2019,11/15/2019,188.54,57375490,7507,128,-192,3615,15,-169,29332531,2.287470811,
11/22/2019,1/0/1900,193.05,68715678,6929,155,-155,2783,12,-133,28632377.5,2.208143628,
11/29/2019,11/29/2019,198.039,47717851,5153,72,-254,2747,8,-111,27932224,2.128816446,
12/6/2019,1/0/1900,195.08,54461949,4782,105,-192,2543,31,-189,28931127.5,2.44823679,
12/13/2019,12/13/2019,193.17,71778911,6419,130,-292,2963,11,-273,29930031,2.767657135,
12/20/2019,1/0/1900,194.81,91655110,4806,111,-110,2246,27,-117,28374548,2.423300217,
12/27/2019,12/31/2019,205,38996037,2629,61,-83,922,6,-30,26819065,2.078943299,
