Date,Type,Ticker Symbol,Volume,Total OI
11/10/2017,,FB,148768,2676935
11/10/2017,C,FB,87629,1560383
11/10/2017,P,FB,61139,1116552
11/13/2017,,FB,122266,2580566
11/13/2017,C,FB,76624,1494326
11/13/2017,P,FB,45642,1086240
11/14/2017,,FB,248686,2612406
11/14/2017,C,FB,148595,1513015
11/14/2017,P,FB,100091,1099391
11/15/2017,,FB,144964,2640728
11/15/2017,C,FB,83828,1533166
11/15/2017,P,FB,61136,1107562
11/16/2017,,FB,181486,2661728
11/16/2017,C,FB,114471,1542851
11/16/2017,P,FB,67015,1118877
11/17/2017,,FB,194558,2710873
11/17/2017,C,FB,129741,1571709
11/17/2017,P,FB,64817,1139164
11/20/2017,,FB,154361,2307806
11/20/2017,C,FB,96552,1346244
11/20/2017,P,FB,57809,961562
11/21/2017,,FB,240681,2355826
11/21/2017,C,FB,155100,1367655
11/21/2017,P,FB,85581,988171
11/22/2017,,FB,138960,2411372
11/22/2017,C,FB,83572,1403219
11/22/2017,P,FB,55388,1008153
11/24/2017,,FB,177715,2448780
11/24/2017,C,FB,130595,1423546
11/24/2017,P,FB,47120,1025234
11/27/2017,,FB,174922,2383041
11/27/2017,C,FB,103776,1387307
11/27/2017,P,FB,71146,995734
11/28/2017,,FB,159028,2432281
11/28/2017,C,FB,90419,1408482
11/28/2017,P,FB,68609,1023799
11/29/2017,,FB,507109,2461379
11/29/2017,C,FB,356309,1419801
11/29/2017,P,FB,150800,1041578
11/30/2017,,FB,253729,2628385
11/30/2017,C,FB,174051,1557654
11/30/2017,P,FB,79678,1070731
12/1/2017,,FB,261005,2675301
12/1/2017,C,FB,166305,1581962
12/1/2017,P,FB,94700,1093339
12/4/2017,,FB,385189,2622437
12/4/2017,C,FB,295765,1545719
12/4/2017,P,FB,89424,1076718
12/5/2017,,FB,268231,2715159
12/5/2017,C,FB,184758,1613640
12/5/2017,P,FB,83473,1101519
12/6/2017,,FB,245261,2750887
12/6/2017,C,FB,148014,1628325
12/6/2017,P,FB,97247,1122562
12/7/2017,,FB,264383,2809579
12/7/2017,C,FB,160263,1658304
12/7/2017,P,FB,104120,1151275
12/8/2017,,FB,308957,2831156
12/8/2017,C,FB,199455,1660544
12/8/2017,P,FB,109502,1170612
12/11/2017,,FB,122845,2783934
12/11/2017,C,FB,75092,1631934
12/11/2017,P,FB,47753,1152000
12/12/2017,,FB,161703,2798777
12/12/2017,C,FB,106770,1639035
12/12/2017,P,FB,54933,1159742
12/13/2017,,FB,158557,2830983
12/13/2017,C,FB,109758,1657306
12/13/2017,P,FB,48799,1173677
12/14/2017,,FB,157946,2862728
12/14/2017,C,FB,100076,1680386
12/14/2017,P,FB,57870,1182342
12/15/2017,,FB,222665,2880118
12/15/2017,C,FB,138855,1685783
12/15/2017,P,FB,83810,1194335
12/18/2017,,FB,185118,2452020
12/18/2017,C,FB,114194,1456562
12/18/2017,P,FB,70924,995458
12/19/2017,,FB,159102,2522272
12/19/2017,C,FB,100725,1497437
12/19/2017,P,FB,58377,1024835
12/20/2017,,FB,146776,2561350
12/20/2017,C,FB,90607,1515739
12/20/2017,P,FB,56169,1045611
12/21/2017,,FB,133785,2582336
12/21/2017,C,FB,82335,1526387
