,AMZN,AAPL,META,GOOGL,MSFT,NFLX
9/2/2016,0.156906,0.1851065,0.1650865,0.1348755,0.142006,0.269773
9/6/2016,0.17074,0.1915895,0.171211,0.1502895,0.1457565,0.2862755
9/7/2016,0.169297,0.1854475,0.176702,0.1517255,0.144715,0.280876
9/8/2016,0.169216,0.1937815,0.1795735,0.153027,0.151291,0.3006755
9/9/2016,0.2141865,0.2135635,0.2119875,0.177639,0.181417,0.318972
9/12/2016,0.204612,0.208036,0.2040705,0.1751775,0.179621,0.324917
9/13/2016,0.229882,0.216506,0.224868,0.193192,0.1936525,0.3622115
9/14/2016,0.230086,0.223975,0.2189905,0.1966205,0.1998635,0.3576855
9/15/2016,0.216947,0.229439,0.2070925,0.186281,0.19344,0.3463835
9/16/2016,0.218089,0.222738,0.2002905,0.1756475,0.194334,0.3620255
9/19/2016,0.2309045,0.222982,0.206948,0.1893455,0.2228485,0.4329815
9/20/2016,0.2342165,0.223365,0.206641,0.1927565,0.22557,0.45054
9/21/2016,0.2434105,0.219468,0.1955345,0.1936465,0.2176135,0.459943
9/22/2016,0.248203,0.219357,0.2088315,0.195363,0.216502,0.449123
9/23/2016,0.2636585,0.236169,0.2286675,0.2055605,0.219413,0.4597645
9/26/2016,0.2965515,0.2525115,0.250008,0.2331315,0.24171,0.499064
9/27/2016,0.2987515,0.250617,0.244827,0.233798,0.2308645,0.483651
9/28/2016,0.313615,0.252248,0.2437615,0.237179,0.2350515,0.483386
9/29/2016,0.3194015,0.267994,0.265343,0.2456595,0.242299,0.493303
9/30/2016,0.320408,0.2547795,0.256989,0.2404215,0.231173,0.489817
10/3/2016,0.3224925,0.2659915,0.276946,0.264529,0.2380055,0.5067185
10/4/2016,0.334032,0.26916,0.279962,0.2632395,0.240574,0.5151155
10/5/2016,0.336112,0.2674315,0.2847635,0.2704675,0.2356335,0.540253
10/6/2016,0.3359025,0.2613475,0.288364,0.271794,0.237422,0.5420005
10/7/2016,0.3293445,0.2579915,0.290068,0.266679,0.2379935,0.5300865
10/10/2016,0.3288835,0.257779,0.294075,0.264516,0.2412475,0.52221
10/11/2016,0.3453905,0.266157,0.3200235,0.280995,0.251309,0.5216755
10/12/2016,0.3439635,0.259037,0.309451,0.2685425,0.2509415,0.549448
10/13/2016,0.341069,0.2625645,0.315455,0.270744,0.256565,0.5465265
10/14/2016,0.338327,0.2489615,0.305197,0.264349,0.2461585,0.5433645
10/17/2016,0.349165,0.25162,0.310316,0.2662945,0.2465445,0.5537255
10/18/2016,0.3411345,0.248606,0.300619,0.2800395,0.251671,0.326807
10/19/2016,0.343003,0.245027,0.300541,0.2813215,0.251078,0.338236
10/20/2016,0.3458435,0.239966,0.298421,0.269525,0.258711,0.336309
10/21/2016,0.336514,0.2427615,0.2939335,0.270848,0.160641,0.368788
10/24/2016,0.3251515,0.250358,0.297697,0.254358,0.146527,0.352037
10/25/2016,0.3380365,0.2493835,0.298171,0.2697745,0.1496865,0.3349515
