Date,AMZN,amazon stock,AAPL,apple stock,META,facebook stock,GOOGL,google stock,MSFT,microsoft stock,NFLX,netflix stock
2014-03-07,11.0,14.0,22.0,9.0,81.0,17.0,89.0,14.0,21.0,9.0,10.0,11.0
2014-03-08,5.0,9.0,6.0,4.0,65.0,9.0,86.0,8.0,10.0,3.0,6.0,2.0
2014-03-09,3.0,10.0,5.0,4.0,63.0,8.0,84.0,8.0,11.0,4.0,6.0,2.0
2014-03-10,15.0,13.0,22.0,7.0,88.0,15.0,89.0,14.0,17.0,9.0,13.0,7.0
2014-03-11,13.0,13.0,23.0,9.0,84.0,16.0,88.0,13.0,31.0,9.0,10.0,10.0
2014-03-12,13.0,12.0,22.0,7.0,81.0,16.0,90.0,13.0,28.0,12.0,8.0,7.0
2014-03-13,20.0,19.0,22.0,7.0,84.0,16.0,88.0,15.0,26.0,15.0,8.0,10.0
2014-03-14,17.0,18.0,22.0,8.0,79.0,15.0,87.0,11.0,23.0,10.0,8.0,13.0
2014-03-15,6.0,9.0,6.0,4.0,60.0,10.0,86.0,8.0,8.0,6.0,4.0,5.0
2014-03-16,2.0,11.0,4.0,3.0,65.0,6.0,86.0,7.0,9.0,6.0,3.0,6.0
2014-03-17,14.0,15.0,22.0,6.0,81.0,13.0,85.0,11.0,19.0,10.0,7.0,13.0
2014-03-18,10.0,16.0,23.0,9.0,85.0,14.0,91.0,13.0,39.0,19.0,14.0,15.0
2014-03-19,12.0,12.0,21.0,9.0,79.0,14.0,88.0,10.0,40.0,12.0,5.0,6.0
2014-03-20,16.0,14.0,21.0,8.0,88.0,13.0,89.0,14.0,40.0,10.0,9.0,5.0
2014-03-21,11.0,13.0,19.0,7.0,80.0,13.0,85.0,11.0,32.0,13.0,12.0,11.0
2014-03-22,5.0,8.0,7.0,3.0,59.0,8.0,81.0,9.0,18.0,7.0,7.0,1.0
2014-03-23,3.0,8.0,4.0,2.0,59.0,7.0,83.0,7.0,11.0,8.0,2.0,7.0
2014-03-24,12.0,11.0,24.0,9.0,76.0,13.0,81.0,13.0,27.0,14.0,26.0,14.0
2014-03-25,13.0,15.0,25.0,9.0,79.0,19.0,85.0,14.0,31.0,11.0,17.0,12.0
2014-03-26,15.0,10.0,25.0,10.0,81.0,26.0,86.0,14.0,29.0,10.0,17.0,15.0
2014-03-27,15.0,17.0,22.0,9.0,87.0,22.0,81.0,15.0,45.0,16.0,13.0,12.0
2014-03-28,15.0,12.0,21.0,8.0,79.0,21.0,82.0,13.0,42.0,19.0,14.0,13.0
2014-03-29,6.0,9.0,6.0,3.0,63.0,10.0,82.0,9.0,12.0,11.0,6.0,5.0
2014-03-30,4.0,9.0,5.0,3.0,61.0,8.0,85.0,8.0,9.0,7.0,0.0,8.0
2014-03-31,14.0,14.0,19.0,8.0,77.0,15.0,91.0,15.0,30.0,4.0,12.0,10.0
2014-04-01,15.0,13.0,22.0,7.0,80.0,16.0,87.0,14.0,37.0,12.0,11.0,6.0
2014-04-02,24.0,15.0,19.0,8.0,79.0,17.0,87.0,15.0,42.0,13.0,13.0,9.0
2014-04-03,24.0,19.0,18.0,9.0,91.0,15.0,100.0,28.0,36.0,24.0,14.0,8.0
2014-04-04,20.0,14.0,18.0,7.0,82.0,19.0,94.0,26.0,38.0,14.0,17.0,10.0
2014-04-05,6.0,13.0,8.0,3.0,61.0,10.0,85.0,13.0,11.0,7.0,7.0,2.0
2014-04-06,5.0,12.0,4.0,3.0,66.0,8.0,85.0,10.0,7.0,7.0,4.0,5.0
2014-04-07,16.0,15.0,21.0,7.0,81.0,14.0,89.0,16.0,30.0,12.0,18.0,7.0
2014-04-08,21.0,16.0,21.0,8.0,81.0,15.0,87.0,17.0,30.0,11.0,15.0,11.0
2014-04-09,21.0,12.0,19.0,9.0,78.0,15.0,86.0,15.0,30.0,15.0,15.0,12.0
2014-04-10,22.0,12.0,20.0,10.0,89.0,18.0,90.0,17.0,25.0,13.0,19.0,11.0
2014-04-11,22.0,15.0,21.0,9.0,78.0,16.0,90.0,17.0,28.0,16.0,18.0,8.0
2014-04-12,7.0,11.0,6.0,4.0,67.0,10.0,90.0,10.0,12.0,7.0,5.0,0.0
2014-04-13,6.0,8.0,4.0,3.0,60.0,6.0,89.0,9.0,7.0,8.0,5.0,0.0
2014-04-14,21.0,17.0,20.0,8.0,78.0,16.0,89.0,15.0,23.0,14.0,14.0,7.0
2014-04-15,17.0,15.0,20.0,6.0,75.0,15.0,87.0,16.0,27.0,11.0,15.0,9.0
2014-04-16,19.0,14.0,19.0,7.0,84.0,17.0,92.0,17.0,26.0,12.0,8.0,7.0
2014-04-17,21.0,14.0,21.0,8.0,90.0,15.0,95.0,22.0,32.0,12.0,13.0,11.0
2014-04-18,12.0,16.0,14.0,5.0,65.0,11.0,86.0,13.0,18.0,7.0,11.0,8.0
2014-04-19,5.0,11.0,5.0,4.0,58.0,9.0,87.0,8.0,7.0,6.0,3.0,3.0
2014-04-20,4.0,8.0,6.0,4.0,57.0,7.0,89.0,8.0,8.0,11.0,3.0,5.0
2014-04-21,16.0,13.0,22.0,9.0,73.0,14.0,86.0,14.0,23.0,15.0,68.0,24.0
2014-04-22,16.0,14.0,23.0,8.0,77.0,13.0,92.0,14.0,27.0,15.0,59.0,31.0
2014-04-23,23.0,14.0,62.0,27.0,81.0,21.0,93.0,14.0,33.0,7.0,24.0,16.0
2014-04-24,54.0,21.0,98.0,57.0,91.0,27.0,88.0,17.0,54.0,18.0,19.0,13.0
2014-04-25,72.0,31.0,49.0,29.0,80.0,18.0,86.0,15.0,61.0,14.0,19.0,14.0
2014-04-26,20.0,21.0,15.0,11.0,61.0,8.0,86.0,8.0,13.0,9.0,2.0,7.0
2014-04-27,11.0,11.0,9.0,8.0,60.0,7.0,87.0,8.0,16.0,3.0,5.0,5.0
2014-04-28,44.0,23.0,39.0,19.0,80.0,15.0,88.0,15.0,32.0,18.0,17.0,14.0
2014-04-29,29.0,20.0,39.0,22.0,72.0,14.0,87.0,13.0,27.0,16.0,21.0,10.0
2014-04-30,28.0,15.0,41.0,19.0,76.0,16.0,97.0,13.0,28.0,10.0,17.0,8.0
2014-05-01,31.0,15.0,38.0,18.0,78.0,14.0,92.0,12.0,31.0,17.0,15.0,8.0
2014-05-02,22.0,17.0,31.0,15.0,73.0,14.0,89.0,12.0,24.0,13.0,17.0,11.0
2014-05-03,4.0,11.0,11.0,8.0,60.0,8.0,83.0,5.0,14.0,8.0,3.0,3.0
2014-05-04,2.0,10.0,5.0,5.0,64.0,8.0,86.0,6.0,8.0,4.0,0.0,4.0
2014-05-05,21.0,13.0,32.0,13.0,76.0,11.0,84.0,12.0,20.0,10.0,11.0,11.0
2014-05-06,20.0,18.0,35.0,18.0,79.0,13.0,88.0,12.0,21.0,14.0,14.0,10.0
2014-05-07,27.0,17.0,30.0,12.0,78.0,13.0,86.0,13.0,28.0,10.0,18.0,8.0
2014-05-08,27.0,17.0,30.0,13.0,92.0,14.0,93.0,13.0,29.0,7.0,11.0,9.0
2014-05-09,27.0,17.0,41.0,18.0,79.0,13.0,89.0,12.0,20.0,13.0,16.0,10.0
2014-05-10,7.0,8.0,11.0,8.0,60.0,7.0,83.0,7.0,10.0,4.0,0.0,4.0
2014-05-11,2.0,9.0,8.0,5.0,62.0,7.0,92.0,6.0,4.0,6.0,2.0,0.0
2014-05-12,22.0,12.0,29.0,13.0,85.0,10.0,89.0,11.0,23.0,9.0,14.0,10.0
2014-05-13,18.0,16.0,31.0,13.0,85.0,15.0,86.0,11.0,27.0,14.0,11.0,7.0
2014-05-14,14.0,16.0,24.0,11.0,82.0,12.0,89.0,11.0,25.0,12.0,12.0,9.0
2014-05-15,22.0,13.0,27.0,11.0,92.0,13.0,88.0,11.0,32.0,5.0,13.0,5.0
2014-05-16,15.0,10.0,25.0,10.0,78.0,11.0,84.0,10.0,19.0,11.0,9.0,7.0
2014-05-17,3.0,6.0,10.0,6.0,59.0,6.0,87.0,7.0,5.0,2.0,2.0,4.0
2014-05-18,4.0,9.0,7.0,5.0,61.0,6.0,82.0,6.0,7.0,5.0,6.0,4.0
2014-05-19,18.0,14.0,30.0,12.0,85.0,12.0,92.0,11.0,23.0,9.0,14.0,10.0
2014-05-20,20.0,15.0,30.0,13.0,83.0,11.0,86.0,13.0,29.0,9.0,15.0,6.0
2014-05-21,21.0,7.0,30.0,12.0,83.0,12.0,96.0,12.0,26.0,8.0,16.0,13.0
2014-05-22,22.0,10.0,27.0,12.0,88.0,12.0,94.0,12.0,29.0,9.0,16.0,7.0
2014-05-23,18.0,12.0,30.0,13.0,80.0,10.0,90.0,11.0,20.0,10.0,14.0,8.0
2014-05-24,7.0,10.0,10.0,6.0,61.0,7.0,89.0,7.0,11.0,4.0,5.0,4.0
2014-05-25,9.0,7.0,7.0,5.0,60.0,6.0,90.0,6.0,5.0,7.0,4.0,7.0
2014-05-26,6.0,9.0,10.0,6.0,86.0,7.0,88.0,8.0,8.0,4.0,4.0,0.0
2014-05-27,14.0,11.0,36.0,15.0,83.0,11.0,90.0,11.0,25.0,8.0,13.0,6.0
2014-05-28,18.0,12.0,38.0,16.0,83.0,13.0,87.0,12.0,26.0,8.0,11.0,6.0
2014-05-29,17.0,11.0,43.0,17.0,84.0,12.0,92.0,12.0,21.0,9.0,14.0,12.0
2014-05-30,13.0,10.0,45.0,18.0,81.0,12.0,93.0,12.0,20.0,9.0,16.0,10.0
2014-05-31,5.0,10.0,14.0,9.0,66.0,7.0,86.0,6.0,9.0,5.0,0.0,0.0
2014-06-01,4.0,7.0,10.0,8.0,66.0,6.0,90.0,6.0,6.0,6.0,3.0,2.0
2014-06-02,14.0,6.0,57.0,27.0,77.0,12.0,92.0,11.0,27.0,7.0,10.0,8.0
2014-06-03,12.0,10.0,46.0,25.0,80.0,11.0,94.0,10.0,21.0,7.0,11.0,6.0
2014-06-04,17.0,13.0,39.0,22.0,82.0,11.0,92.0,10.0,25.0,5.0,10.0,7.0
2014-06-05,30.0,14.0,40.0,21.0,84.0,12.0,90.0,12.0,23.0,11.0,12.0,7.0
2014-06-06,32.0,15.0,43.0,27.0,73.0,12.0,92.0,12.0,32.0,5.0,14.0,10.0
2014-06-07,13.0,8.0,20.0,21.0,60.0,6.0,90.0,7.0,12.0,7.0,4.0,4.0
2014-06-08,4.0,10.0,16.0,17.0,62.0,7.0,90.0,8.0,13.0,2.0,0.0,7.0
2014-06-09,20.0,13.0,89.0,67.0,80.0,11.0,87.0,13.0,14.0,13.0,14.0,10.0
2014-06-10,22.0,14.0,67.0,50.0,82.0,12.0,87.0,12.0,26.0,13.0,14.0,10.0
2014-06-11,19.0,15.0,50.0,37.0,81.0,14.0,89.0,13.0,24.0,8.0,11.0,4.0
2014-06-12,24.0,11.0,43.0,28.0,87.0,11.0,85.0,11.0,20.0,10.0,8.0,4.0
2014-06-13,15.0,12.0,44.0,24.0,75.0,12.0,87.0,11.0,22.0,5.0,11.0,4.0
2014-06-14,4.0,9.0,15.0,14.0,58.0,7.0,93.0,7.0,5.0,3.0,3.0,4.0
2014-06-15,5.0,10.0,9.0,10.0,60.0,6.0,93.0,6.0,6.0,2.0,2.0,3.0
2014-06-16,15.0,13.0,38.0,17.0,78.0,11.0,90.0,9.0,18.0,6.0,6.0,8.0
2014-06-17,19.0,15.0,34.0,19.0,80.0,10.0,85.0,10.0,26.0,13.0,8.0,6.0
2014-06-18,46.0,26.0,37.0,19.0,86.0,10.0,87.0,10.0,21.0,10.0,9.0,7.0
2014-06-19,42.0,29.0,33.0,17.0,89.0,13.0,89.0,11.0,23.0,7.0,9.0,10.0
2014-06-20,20.0,19.0,32.0,16.0,74.0,13.0,82.0,9.0,22.0,10.0,7.0,6.0
2014-06-21,3.0,7.0,12.0,10.0,63.0,8.0,82.0,8.0,10.0,0.0,6.0,4.0
2014-06-22,3.0,9.0,8.0,7.0,64.0,6.0,85.0,6.0,7.0,4.0,0.0,0.0
2014-06-23,16.0,15.0,31.0,15.0,75.0,9.0,84.0,12.0,16.0,5.0,3.0,7.0
2014-06-24,19.0,11.0,30.0,13.0,82.0,13.0,87.0,11.0,18.0,5.0,15.0,7.0
2014-06-25,20.0,14.0,30.0,15.0,83.0,12.0,86.0,12.0,24.0,6.0,9.0,5.0
2014-06-26,16.0,17.0,28.0,15.0,87.0,11.0,83.0,11.0,20.0,6.0,9.0,0.0
2014-06-27,15.0,12.0,30.0,14.0,72.0,11.0,83.0,9.0,23.0,11.0,0.0,7.0
2014-06-28,5.0,8.0,10.0,8.0,58.0,9.0,80.0,7.0,14.0,3.0,2.0,0.0
2014-06-29,5.0,8.0,8.0,5.0,66.0,5.0,81.0,7.0,10.0,4.0,0.0,5.0
2014-06-30,13.0,11.0,29.0,13.0,72.0,9.0,78.0,10.0,26.0,10.0,3.0,4.0
2014-07-01,13.0,12.0,30.0,15.0,76.0,11.0,79.0,10.0,29.0,8.0,24.0,6.0
2014-07-02,12.0,11.0,32.0,14.0,79.0,12.0,83.0,12.0,23.0,9.0,16.0,4.0
2014-07-03,18.0,6.0,32.0,17.0,89.0,11.0,79.0,10.0,28.0,8.0,13.0,12.0
2014-07-04,1.0,7.0,12.0,9.0,72.0,7.0,78.0,8.0,12.0,4.0,3.0,7.0
2014-07-05,4.0,7.0,6.0,5.0,65.0,4.0,84.0,5.0,4.0,5.0,2.0,4.0
2014-07-06,2.0,8.0,6.0,7.0,58.0,6.0,85.0,6.0,7.0,2.0,4.0,8.0
2014-07-07,18.0,14.0,33.0,14.0,76.0,10.0,84.0,10.0,17.0,6.0,11.0,10.0
2014-07-08,10.0,14.0,37.0,16.0,70.0,14.0,80.0,11.0,24.0,10.0,14.0,10.0
2014-07-09,15.0,8.0,29.0,12.0,69.0,12.0,82.0,9.0,21.0,7.0,14.0,4.0
2014-07-10,15.0,9.0,29.0,15.0,87.0,11.0,78.0,10.0,17.0,12.0,8.0,4.0
2014-07-11,27.0,14.0,30.0,12.0,80.0,11.0,81.0,8.0,16.0,7.0,10.0,5.0
2014-07-12,9.0,11.0,9.0,8.0,60.0,6.0,85.0,6.0,7.0,5.0,6.0,5.0
2014-07-13,4.0,5.0,6.0,4.0,58.0,5.0,86.0,6.0,3.0,6.0,0.0,6.0
2014-07-14,17.0,10.0,34.0,12.0,70.0,12.0,83.0,10.0,22.0,4.0,11.0,7.0
2014-07-15,18.0,12.0,34.0,15.0,82.0,13.0,81.0,9.0,26.0,11.0,11.0,6.0
2014-07-16,20.0,16.0,44.0,20.0,77.0,10.0,78.0,12.0,42.0,12.0,9.0,7.0
2014-07-17,13.0,13.0,35.0,17.0,86.0,12.0,82.0,12.0,99.0,34.0,13.0,6.0
2014-07-18,19.0,11.0,31.0,13.0,70.0,12.0,86.0,13.0,53.0,22.0,5.0,5.0
2014-07-19,7.0,9.0,10.0,8.0,56.0,7.0,79.0,8.0,24.0,9.0,0.0,2.0
2014-07-20,5.0,5.0,7.0,6.0,60.0,8.0,87.0,6.0,13.0,0.0,0.0,7.0
2014-07-21,16.0,12.0,33.0,13.0,79.0,11.0,83.0,11.0,35.0,11.0,50.0,16.0
2014-07-22,19.0,15.0,71.0,20.0,81.0,14.0,81.0,11.0,82.0,12.0,54.0,30.0
2014-07-23,17.0,12.0,70.0,22.0,80.0,18.0,83.0,12.0,54.0,16.0,18.0,12.0
2014-07-24,61.0,21.0,43.0,19.0,96.0,30.0,80.0,11.0,38.0,13.0,22.0,9.0
2014-07-25,100.0,46.0,35.0,16.0,74.0,26.0,82.0,12.0,31.0,14.0,12.0,9.0
2014-07-26,20.0,22.0,12.0,9.0,63.0,12.0,83.0,8.0,11.0,8.0,4.0,7.0
2014-07-27,12.0,16.0,8.0,6.0,62.0,9.0,86.0,6.0,14.0,4.0,4.0,4.0
2014-07-28,27.0,19.0,35.0,15.0,81.0,13.0,81.0,9.0,29.0,9.0,9.0,4.0
2014-07-29,30.0,19.0,41.0,17.0,80.0,15.0,79.0,12.0,27.0,10.0,3.0,10.0
2014-07-30,19.0,16.0,33.0,14.0,81.0,15.0,84.0,11.0,23.0,5.0,10.0,6.0
2014-07-31,26.0,17.0,32.0,16.0,85.0,14.0,84.0,10.0,25.0,7.0,8.0,11.0
2014-08-01,24.0,17.0,35.0,14.0,71.0,16.0,83.0,11.0,18.0,11.0,11.0,7.0
2014-08-02,7.0,10.0,11.0,7.0,57.0,11.0,88.0,6.0,9.0,5.0,0.0,2.0
2014-08-03,4.0,9.0,7.0,6.0,67.0,7.0,90.0,6.0,0.0,0.0,0.0,0.0
2014-08-04,20.0,9.0,28.0,11.0,77.0,13.0,81.0,10.0,23.0,10.0,5.0,4.0
2014-08-05,23.0,13.0,32.0,13.0,79.0,13.0,82.0,11.0,21.0,10.0,7.0,8.0
2014-08-06,19.0,9.0,32.0,14.0,79.0,13.0,80.0,12.0,21.0,10.0,8.0,5.0
2014-08-07,21.0,9.0,29.0,12.0,85.0,11.0,76.0,9.0,19.0,12.0,13.0,4.0
2014-08-08,18.0,12.0,28.0,11.0,75.0,12.0,82.0,10.0,20.0,7.0,17.0,6.0
2014-08-09,9.0,7.0,8.0,6.0,62.0,7.0,89.0,6.0,9.0,6.0,5.0,2.0
2014-08-10,2.0,8.0,6.0,4.0,64.0,7.0,86.0,6.0,9.0,8.0,0.0,6.0
2014-08-11,16.0,11.0,29.0,11.0,85.0,11.0,85.0,9.0,22.0,8.0,8.0,6.0
2014-08-12,18.0,11.0,27.0,12.0,80.0,11.0,78.0,9.0,23.0,7.0,9.0,5.0
2014-08-13,18.0,12.0,30.0,12.0,91.0,11.0,79.0,10.0,19.0,10.0,8.0,5.0
2014-08-14,20.0,15.0,28.0,13.0,95.0,11.0,80.0,9.0,25.0,7.0,15.0,6.0
2014-08-15,16.0,10.0,29.0,14.0,75.0,11.0,85.0,9.0,20.0,5.0,0.0,5.0
2014-08-16,6.0,8.0,11.0,7.0,64.0,6.0,89.0,6.0,12.0,4.0,7.0,5.0
2014-08-17,1.0,12.0,7.0,5.0,67.0,7.0,85.0,6.0,5.0,4.0,0.0,4.0
2014-08-18,11.0,14.0,32.0,12.0,71.0,11.0,80.0,9.0,17.0,7.0,7.0,10.0
2014-08-19,15.0,15.0,44.0,21.0,81.0,11.0,79.0,11.0,31.0,12.0,6.0,7.0
2014-08-20,15.0,11.0,44.0,22.0,87.0,13.0,77.0,12.0,28.0,17.0,10.0,9.0
2014-08-21,17.0,13.0,36.0,17.0,93.0,11.0,80.0,11.0,22.0,14.0,9.0,3.0
2014-08-22,11.0,11.0,40.0,16.0,78.0,11.0,76.0,10.0,23.0,9.0,13.0,4.0
2014-08-23,4.0,10.0,13.0,10.0,60.0,8.0,80.0,8.0,11.0,4.0,3.0,5.0
2014-08-24,5.0,8.0,9.0,7.0,69.0,6.0,76.0,8.0,5.0,6.0,4.0,3.0
2014-08-25,25.0,12.0,34.0,17.0,79.0,11.0,75.0,11.0,21.0,10.0,10.0,5.0
2014-08-26,22.0,20.0,32.0,14.0,79.0,12.0,81.0,12.0,20.0,14.0,11.0,3.0
2014-08-27,23.0,17.0,36.0,15.0,86.0,14.0,78.0,11.0,25.0,13.0,10.0,7.0
2014-08-28,16.0,15.0,38.0,16.0,86.0,11.0,78.0,10.0,21.0,6.0,6.0,5.0
2014-08-29,13.0,11.0,35.0,19.0,74.0,11.0,77.0,10.0,16.0,13.0,6.0,8.0
2014-08-30,8.0,8.0,10.0,9.0,62.0,8.0,82.0,7.0,13.0,7.0,4.0,3.0
2014-08-31,5.0,7.0,8.0,8.0,61.0,7.0,76.0,7.0,6.0,4.0,1.0,7.0
2014-09-01,4.0,7.0,13.0,10.0,77.0,6.0,75.0,8.0,6.0,2.0,5.0,6.0
2014-09-02,11.0,11.0,39.0,20.0,78.39999999999999,8.4,73.33333333333334,10.666666666666666,20.4,18.0,10.0,6.0
2014-09-03,14.0,11.0,54.888888888888886,30.0,81.19999999999999,10.799999999999999,80.83333333333334,11.555555555555555,24.0,18.0,6.666666666666667,7.5
2014-09-04,14.0,13.0,56.333333333333336,30.0,89.6,10.799999999999999,74.16666666666667,11.555555555555555,27.599999999999998,18.0,6.666666666666667,6.0
2014-09-05,10.0,9.0,46.22222222222222,22.857142857142858,78.39999999999999,13.2,78.33333333333334,11.555555555555555,36.0,26.0,1.6666666666666667,9.0
2014-09-06,7.0,9.0,11.555555555555555,12.857142857142858,58.8,7.199999999999999,77.5,7.111111111111111,9.6,14.0,3.3333333333333335,4.5
