Date,MSFT,microsoft stock
3/13/2015,23,15
3/14/2015,9,5
3/15/2015,7,7
3/16/2015,18,11
3/17/2015,26,16
3/18/2015,22,11
3/19/2015,28,12
3/20/2015,20,10
3/21/2015,7,9
3/22/2015,10,5
3/23/2015,25,12
3/24/2015,18,7
3/25/2015,18,15
3/26/2015,24,8
3/27/2015,24,12
3/28/2015,5,3
3/29/2015,8,3
3/30/2015,22,9
3/31/2015,23,8
4/1/2015,21,12
4/2/2015,22,10
4/3/2015,15,10
4/4/2015,10,0
4/5/2015,2,3
4/6/2015,21,10
4/7/2015,24,6
4/8/2015,25,12
4/9/2015,18,14
4/10/2015,27,11
4/11/2015,10,7
4/12/2015,7,5
4/13/2015,21,8
4/14/2015,21,14
4/15/2015,23,11
4/16/2015,24,14
4/17/2015,21,12
4/18/2015,7,5
4/19/2015,7,7
4/20/2015,27,12
4/21/2015,21,16
4/22/2015,21,13
4/23/2015,52,18
4/24/2015,84,28
4/25/2015,23,15
4/26/2015,13,9
4/27/2015,40,19
4/28/2015,48,17
4/29/2015,44,19
4/30/2015,47,14
5/1/2015,40,16
5/1/2015,42,16
5/2/2015,11,8
5/3/2015,10,8
5/4/2015,31,16
5/5/2015,26,17
5/6/2015,31,16
5/7/2015,24,14
5/8/2015,27,8
5/9/2015,7,10
5/10/2015,5,5
5/11/2015,25,10
5/12/2015,18,12
5/13/2015,19,15
5/14/2015,23,10
5/15/2015,25,6
5/16/2015,18,7
5/17/2015,5,6
5/18/2015,23,11
5/19/2015,20,13
5/20/2015,20,12
5/21/2015,17,13
5/22/2015,22,13
5/23/2015,6,10
5/24/2015,8,14
5/25/2015,9,9
5/26/2015,20,9
5/27/2015,17,14
5/28/2015,18,8
5/29/2015,17,9
5/30/2015,7,5
5/31/2015,9,6
6/1/2015,19,11
6/2/2015,17,9
6/3/2015,20,11
6/4/2015,19,9
6/5/2015,22,11
6/6/2015,6,7
6/7/2015,5,3
6/8/2015,18,4
6/9/2015,19,7
6/10/2015,16,9
6/11/2015,22,7
6/12/2015,11,12
6/13/2015,5,3
6/14/2015,0,4
6/15/2015,13,10
6/16/2015,25,15
6/17/2015,23,11
6/18/2015,25,12
6/19/2015,18,7
6/20/2015,6,8
6/21/2015,8,4
6/22/2015,20,9
6/23/2015,15,11
6/24/2015,24,11
6/25/2015,14,7
6/26/2015,14,9
6/27/2015,6,5
6/28/2015,4,6
6/29/2015,29,14
6/30/2015,24,8
7/1/2015,22,11
7/2/2015,22,7
7/3/2015,8,8
7/4/2015,5,5
7/5/2015,6,6
7/6/2015,19,12
7/7/2015,23,6
7/8/2015,40,18
7/9/2015,30,14
7/10/2015,26,9
7/11/2015,7,8
7/12/2015,7,5
7/13/2015,21,12
7/14/2015,20,8
7/15/2015,24,11
7/16/2015,23,11
7/17/2015,28,12
7/18/2015,14,14
7/19/2015,3,7
7/20/2015,23,12
7/21/2015,66,20
7/22/2015,67,27
7/23/2015,36,15
7/24/2015,23,9
7/25/2015,12,6
7/26/2015,6,8
7/27/2015,21,7
7/28/2015,19,11
7/29/2015,37,17
7/30/2015,33,13
7/31/2015,23,11
8/1/2015,6,4
8/2/2015,14,7
8/3/2015,22,15
8/4/2015,26,16
8/5/2015,23,14
8/6/2015,22,11
8/7/2015,17,8
8/8/2015,9,5
8/9/2015,9,7
8/10/2015,22,12
8/11/2015,23,11
8/12/2015,26,8
8/13/2015,19,7
8/14/2015,18,7
8/15/2015,9,7
8/16/2015,9,3
8/17/2015,20,9
8/18/2015,20,9
8/19/2015,20,9
8/20/2015,18,13
8/21/2015,31,11
8/22/2015,11,9
8/23/2015,10,8
8/24/2015,46,27
8/25/2015,37,28
8/26/2015,39,23
8/27/2015,32,17
8/28/2015,29,13
8/29/2015,10,6
8/30/2015,11,4
8/31/2015,23,11
9/1/2015,26,15
9/2/2015,29,14
9/3/2015,30,10
9/4/2015,24,11
9/5/2015,12,4
9/6/2015,8,5
9/7/2015,8,6
9/8/2015,20,10
9/9/2015,21,13
9/10/2015,25,10
9/11/2015,16,12
9/12/2015,9,8
9/13/2015,9,8
9/14/2015,20,9
