Actual Date,Ghetto Date,Price - Close - Monthly,Trading Volume - Monthly,Twitter Publication Count,Twitter Positive Sentiment Count,Twitter Negative Sentiment Count,News Publication Count,News Positive Sentiment Count,News Negative Sentiment Count,SI,SI Ratio,IV Midpoint
5/31/2015,15-May,27.266,32261641,55922,1484,-2044,28722,923,-342,83515940,1.871561544,
6/30/2015,15-Jun,27.002,35137982,59819,1717,-2040,29276,1299,-528,73831680,1.962934757,
7/31/2015,15-Jul,32.875,68123208,41634,3882,-2053,29039,1458,-561,92591780,0.818191497,
8/31/2015,15-Aug,32.391,54963813,90827,4740,-3995,28279,1626,-544,99852460,1.349553502,
9/30/2015,15-Sep,31.919,43464419,66926,1648,-3062,21594,1460,-634,99472000,1.853250991,
10/31/2015,15-Oct,36.869,50097814,122481,7363,-3622,23940,1876,-499,96856380,1.359723256,
11/30/2015,15-Nov,38.143,37477013,48487,869,-1649,18272,185,-94,91887280,1.253402562,
12/31/2015,15-Dec,38.901,43555252,47122,2239,-1839,20213,309,-53,88637260,1.283073379,
1/31/2016,16-Jan,38.068,51873113,45131,3282,-2190,16541,9,-21,78377100,0.818148455,
2/29/2016,16-Feb,35.861,67419839,72038,10929,-2675,22407,40,-26,72300600,1.420434146,
3/31/2016,16-Mar,38.145,42604913,61830,1566,-2117,23923,14,-16,70504960,1.468093929,
4/30/2016,16-Apr,35.394,46487531,69596,3663,-8036,22667,20,-37,63762200,1.218861538,
5/31/2016,16-May,37.443,34056649,198749,5770,-6309,27894,6,-22,60296720,1.504934767,
6/30/2016,16-Jun,35.176,41910907,121478,3355,-6967,19761,17,-20,50089800,1.318363517,
7/31/2016,16-Jul,39.567,32516290,115351,5546,-4849,19026,27,-23,45216120,1.327346306,
8/31/2016,16-Aug,39.493,28858280,123777,3810,-5731,19778,5,-18,48111340,2.438131935,
9/30/2016,16-Sep,40.203,31474262,144497,5236,-4545,20424,11,-17,56879840,1.639020188,
10/31/2016,16-Oct,40.495,35299605,185578,6189,-5226,27896,30,-26,57931760,1.174796354,
11/30/2016,16-Nov,38.794,48209502,132004,2685,-2985,19232,9,-13,56250820,1.66182255,
12/31/2016,16-Dec,39.623,34271361,152713,2320,-5516,19649,6,-8,54733000,1.854902949,
1/31/2017,17-Jan,41.009,36774120,109789,3604,-5327,17625,527,-156,61100020,1.783677468,
2/28/2017,17-Feb,42.246,26473214,95061,1975,-2335,17806,22,-192,59812280,1.921358102,
3/31/2017,17-Mar,42.39,34484411,127205,1731,-4337,22917,68,-323,60854600,1.595106544,
4/30/2017,17-Apr,46.226,28606744,108667,2964,-2642,20229,0,0,58858700,1.310605567,
5/31/2017,17-May,49.354,35334178,159092,2950,-9208,24768,0,0,71488120,1.47638903,
6/30/2017,17-Jun,46.484,43901853,124906,5086,-8834,27717,141,-985,48937960,1.136859968,
7/31/2017,17-Jul,47.275,41651049,105486,2586,-3904,22112,238,-579,60950880,1.012104087,
8/31/2017,17-Aug,47.762,32564483,176978,2090,-4931,25730,78,-581,54356480,1.51291726,
9/30/2017,17-Sep,48.686,29349839,112602,4545,-5164,25431,60,-594,50274700,2.055353431,
10/31/2017,17-Oct,51.652,36626184,221857,5485,-2825,29949,280,-314,50255740,1.322157323,
11/30/2017,17-Nov,51.808,28516144,130244,1509,-4868,23262,60,-389,59074820,1.304723756,
12/31/2017,17-Dec,52.67,29716855,97174,1945,-3167,23714,137,-249,54351320,2.241764177,
1/31/2018,18-Jan,59.111,32641895,22805,578,-1059,25244,93,-571,63128520,0.959266117,
2/28/2018,18-Feb,55.196,51035219,33424,1051,-1563,23276,179,-568,73809260,0.935726578,
3/31/2018,18-Mar,51.857,51531139,132722,2584,-6580,28234,70,-535,58079580,0.54339504,
4/30/2018,18-Apr,50.929,48842560,120131,2772,-5571,25314,410,-395,57418960,0.849567125,
5/31/2018,18-May,55,36874896,93166,1531,-2443,28628,102,-333,63191840,1.7062153,
6/30/2018,18-Jun,56.459,40098264,77766,1666,-2390,25798,73,-373,48569780,0.916465864,
7/31/2018,18-Jul,61.361,41618547,77955,2852,-3582,31663,490,-830,58052720,0.80185975,
8/31/2018,18-Aug,61.59,34210163,85297,1591,-2922,33026,125,-598,46656660,1.067292689,
9/30/2018,18-Sep,60.354,35608671,68374,1054,-2241,25263,66,-394,35966000,0.928236436,
10/31/2018,18-Oct,54.529,56370968,81615,1319,-5362,36911,193,-1347,38206080,0.607586729,
11/30/2018,18-Nov,55.482,39203369,52859,824,-2428,27706,65,-1065,42543320,0.849650995,
12/31/2018,18-Dec,52.248,42729877,49716,719,-1964,27293,58,-712,52433120,0.627456864,
1/31/2019,19-Jan,56.294,34683719,43045,842,-2650,26082,108,-625,32129960,0.750280201,
2/28/2019,19-Feb,56.327,32469549,45730,1769,-1952,25402,328,-464,40515680,1.32944954,
3/31/2019,19-Mar,58.845,32973192,57352,1039,-2903,34312,82,-1154,37505440,0.929009034,
4/30/2019,19-Apr,59.948,32054715,46985,1308,-2206,25688,198,-544,38443100,0.619288306,
5/31/2019,19-May,55.325,36976057,65053,1343,-2694,34153,110,-546,40783580,0.788299569,
6/30/2019,19-Jun,54.14,35473340,56268,1275,-2935,28562,62,-1119,45325100,0.997363745,
7/31/2019,19-Jul,60.91,35459318,48743,1395,-2060,25643,283,-843,52170240,1.07212259,
8/31/2019,19-Aug,59.527,29274631,49506,761,-2030,25104,92,-665,46032240,1.117138361,
9/30/2019,19-Sep,61.057,26206596,46410,690,-2558,28302,30,-1433,53192480,1.079275989,
10/31/2019,19-Oct,62.94,30911601,55799,1364,-2123,32398,271,-735,53982720,0.991934411,
11/30/2019,19-Nov,65.204,25974619,51033,950,-1467,25557,59,-590,64015260,1.29790136,
12/31/2019,19-Dec,66.969,28036362,40467,586,-1579,21893,122,-623,71046820,1.226724555,
1/31/2020,20-Jan,71.639,33466531,44837,1320,-1701,21328,151,-352,59643100,1.123256415,
2/29/2020,20-Feb,66.963,41440492,49116,1630,-2187,24581,355,-812,59868960,0.642548406,
3/31/2020,20-Mar,58.097,78406398,44313,943,-1713,20747,54,-276,80814320,0.655691967,
4/30/2020,20-Apr,67.335,55700517,51650,1415,-1733,24439,382,-256,79302880,0.627872266,
5/31/2020,20-May,71.676,36199082,43829,888,-1568,19345,91,-410,68761700,0.986849433,
6/30/2020,20-Jun,70.902,40619351,50168,864,-2056,23809,66,-677,61898700,1.047944046,
7/31/2020,20-Jul,74.397,41053250,60906,1872,-1948,32446,215,-1001,52198160,0.655543721,
8/31/2020,20-Aug,81.477,30692032,49655,1177,-1637,25935,76,-584,52116080,0.535685255,
9/30/2020,20-Sep,73.28,41720017,45334,690,-1599,22411,64,-690,47346060,0.536384581,
10/31/2020,20-Oct,80.805,42644305,64433,1341,-3442,35023,222,-2790,58745140,0.679959893,
11/30/2020,20-Nov,87.72,31512288,37763,745,-1196,18354,76,-500,51997340,0.974518781,
12/31/2020,20-Dec,87.632,30168601,56821,935,-6805,29984,73,-1676,50259360,0.972526321,
1/31/2021,21-Jan,91.368,39505953,45108,969,-1745,21098,87,-530,57094140,0.967457484,
2/28/2021,21-Feb,101.095,33771889,45626,1861,-1661,24128,406,-560,61502960,1.347125699,
3/31/2021,21-Mar,103.126,37678052,45545,944,-1702,21910,66,-459,59391620,1.683216877,
4/30/2021,21-Apr,117.675,34990991,43372,2143,-1783,23321,483,-508,60495940,1.401864928,
5/31/2021,21-May,117.842,30127226,38751,824,-1313,20568,74,-417,57663280,1.790840088,
6/30/2021,21-Jun,122.09,27176696,43415,836,-1765,24096,57,-890,55241920,1.294149237,
7/31/2021,21-Jul,134.727,30433365,43754,2002,-2799,24077,430,-1172,58673820,0.969279463,
8/31/2021,21-Aug,144.697,23027200,37529,948,-1325,19278,76,-277,59880620,1.625416976,
9/30/2021,21-Sep,133.676,29481096,40592,923,-1678,21570,48,-942,55528580,1.565128417,
10/31/2021,21-Oct,148.046,35834428,47336,1799,-1892,23517,334,-347,55893960,1.381236239,
11/30/2021,21-Nov,141.898,30357679,36392,1026,-1871,18506,85,-625,43814600,1.289817861,
12/31/2021,21-Dec,144.852,30768914,35566,796,-1470,17472,78,-319,40692700,1.34515528,
1/31/2022,22-Jan,135.303,38255840,37141,1040,-1993,17448,89,-903,44361420,0.757067796,
2/28/2022,22-Feb,135.057,46114165,48403,2643,-1748,19130,595,-381,41846240,1.297585424,
3/31/2022,22-Mar,139.068,36373651,42012,1184,-1671,21820,86,-445,40232980,1.065223893,
4/30/2022,22-Apr,114.109,37799587,41329,1534,-2579,20163,119,-530,50191460,0.882475459,
5/31/2022,22-May,113.762,42327804,40024,764,-1829,17940,60,-560,56488340,1.013630356,
6/30/2022,22-Jun,108.963,38435064,37374,698,-1685,14033,44,-537,50101140,1.217608206,
7/31/2022,22-Jul,116.32,424885228,47290,1856,-2720,17679,215,-618,47636874,0.951878634,
8/31/2022,22-Aug,108.22,514480880,29058,869,-1948,12343,44,-404,56071047,1.531614817,
9/30/2022,22-Sep,95.65,611804680,23285,850,-2704,14344,39,-726,51457734,1.26310515,
10/31/2022,22-Oct,94.51,678172580,31531,1081,-3298,17202,65,-1226,51989928,0.970413455,
11/30/2022,22-Nov,100.99,714856231,22232,510,-1598,11011,60,-535,48883523,0.931250013,
12/31/2022,22-Dec,88.23,601620360,20809,341,-1076,11535,24,-317,43102099,1.02648857,
1/31/2023,23-Jan,98.84,670250150,24673,454,-4448,13959,56,-1268,0,0,
2/28/2023,23-Feb,0,939883050,21017,565,-2141,12232,107,-696,0,0,
