date,amazon stock,apple stock,facebook stock,google stock,microsoft stock,netflix stock,AMZN,AAPL,META,FB,GOOGL,MSFT,NFLX
1/26/2014 0:00,10.34482759,16.53333333,14.82926829,15.21311475,23.95454545,14,5.066666667,7.848484848,71.87272727,74.76,79.41052632,12.17391304,0
1/27/2014 0:00,16.37931034,53.73333333,31.51219512,30.90163934,47.90909091,16,24.06666667,75.12121212,90.14545455,63.84,82,37.73913043,0
1/28/2014 0:00,18.10344828,103.3333333,31.51219512,34.70491803,40.86363636,24,30.4,112.1212121,97.45454545,62.16,80.27368421,41.39130435,0
1/29/2014 0:00,15.94827586,74.4,39.85365854,39.45901639,40.86363636,24,32.93333333,68.39393939,93.8,63.84,81.13684211,28,0
1/30/2014 0:00,27.5862069,50.63333333,72.29268293,44.68852459,43.68181818,17,84.86666667,45.96969697,101.1090909,66.36,81.13684211,48.69565217,0
1/31/2014 0:00,43.10344828,51.66666667,55.6097561,47.54098361,88.77272727,25,126.6666667,44.84848485,96.23636364,67.2,82,54.7826087,0
2/1/2014 0:00,19.82758621,20.66666667,26.87804878,23.29508197,19.72727273,15,48.13333333,13.45454545,73.09090909,78.12,79.41052632,19.47826087,0
2/2/2014 0:00,15.0862069,18.6,17.6097561,18.54098361,32.40909091,11,15.2,10.09090909,73.09090909,75.6,82,13.39130435,0
2/3/2014 0:00,20.25862069,37.2,41.70731707,35.18032787,46.5,18,57,37,88.92727273,63,80.27368421,31.65217391,0
2/4/2014 0:00,26.29310345,38.23333333,47.26829268,41.36065574,140.9090909,17,45.6,39.24242424,96.23636364,64.68,78.54736842,121.7391304,0
2/5/2014 0:00,20.25862069,39.26666667,37.07317073,39.45901639,80.31818182,21,38,33.63636364,96.23636364,66.36,83.72631579,53.56521739,0
2/6/2014 0:00,18.53448276,23.76666667,35.2195122,30.90163934,62,21,26.6,33.63636364,112.0727273,51.24,76.82105263,41.39130435,0.048
2/7/2014 0:00,18.96551724,44.43333333,43.56097561,37.55737705,36.63636364,28,38,47.09090909,96.23636364,73.92,86.31578947,36.52173913,0
2/8/2014 0:00,12.06896552,22.73333333,24.09756098,19.01639344,8.454545455,9,8.866666667,14.57575758,69.43636364,78.12,75.95789474,8.52173913,0.048
2/9/2014 0:00,5.172413793,19.63333333,19.46341463,16.16393443,16.90909091,8,6.333333333,10.09090909,73.09090909,72.24,77.68421053,9.739130435,0
2/10/2014 0:00,18.96551724,39.26666667,33.36585366,29.95081967,47.90909091,20,35.46666667,38.12121212,97.45454545,63.84,79.41052632,35.30434783,0
2/11/2014 0:00,21.55172414,44.43333333,37.07317073,31.37704918,63.40909091,15,26.6,39.24242424,95.01818182,63,81.13684211,35.30434783,0
2/12/2014 0:00,19.39655172,37.2,42.63414634,31.85245902,38.04545455,15,41.8,35.87878788,99.89090909,61.32,81.13684211,36.52173913,0
2/13/2014 0:00,20.68965517,35.13333333,44.48780488,34.2295082,62,21,31.66666667,37,101.1090909,66.36,81.13684211,32.86956522,0
2/14/2014 0:00,14.65517241,36.16666667,39.85365854,31.85245902,52.13636364,19,17.73333333,34.75757576,85.27272727,71.4,84.58947368,31.65217391,0
2/15/2014 0:00,10.34482759,17.56666667,24.09756098,17.1147541,45.09090909,19,8.866666667,11.21212121,65.78181818,76.44,78.54736842,13.39130435,0
2/16/2014 0:00,10.34482759,14.46666667,19.46341463,18.54098361,31,7,5.066666667,6.727272727,70.65454545,80.64,77.68421053,12.17391304,0
2/17/2014 0:00,12.93103448,23.76666667,26.87804878,27.09836066,36.63636364,17,12.66666667,17.93939394,99.89090909,63.84,78.54736842,24.34782609,0
2/18/2014 0:00,12.93103448,38.23333333,33.36585366,32.32786885,38.04545455,18,29.13333333,31.39393939,97.45454545,64.68,81.13684211,35.30434783,0
2/19/2014 0:00,17.24137931,37.2,42.63414634,29.95081967,22.54545455,21,26.6,34.75757576,92.58181818,63.84,76.82105263,34.08695652,0
2/20/2014 0:00,15.94827586,43.4,92.68292683,32.80327869,56.36363636,22,25.33333333,33.63636364,102.3272727,63.84,78.54736842,35.30434783,0
2/21/2014 0:00,13.79310345,33.06666667,52.82926829,31.85245902,36.63636364,9,25.33333333,28.03030303,98.67272727,65.52,75.95789474,34.08695652,0
2/22/2014 0:00,10.77586207,15.5,31.51219512,19.01639344,19.72727273,15,10.13333333,11.21212121,73.09090909,76.44,82,13.39130435,0.075
2/23/2014 0:00,13.79310345,13.43333333,25.02439024,21.86885246,22.54545455,14,3.8,6.727272727,71.87272727,74.76,80.27368421,13.39130435,0
2/24/2014 0:00,15.51724138,24.8,43.56097561,32.32786885,46.5,33,25.33333333,30.27272727,101.1090909,63.84,81.13684211,34.08695652,0
2/25/2014 0:00,21.55172414,36.16666667,56.53658537,35.6557377,56.36363636,24,25.33333333,28.03030303,98.67272727,62.16,79.41052632,25.56521739,0.03
2/26/2014 0:00,18.10344828,38.23333333,46.34146341,39.93442623,53.54545455,25,31.66666667,31.39393939,92.58181818,63.84,82,36.52173913,0
2/27/2014 0:00,14.22413793,36.16666667,43.56097561,35.18032787,50.72727273,27,24.06666667,34.75757576,105.9818182,66.36,85.45263158,25.56521739,0
2/28/2014 0:00,11.63793103,33.06666667,43.56097561,33.75409836,50.72727273,25,25.33333333,32.51515152,95.01818182,67.2,78.54736842,34.08695652,0
3/1/2014 0:00,17.67241379,21.7,23.17073171,22.3442623,36.63636364,13,8.866666667,10.09090909,70.65454545,78.12,79.41052632,20.69565217,0
3/2/2014 0:00,9.913793103,13.43333333,23.17073171,21.39344262,23.95454545,10,3.8,7.848484848,70.65454545,73.92,80.27368421,13.39130435,0
3/3/2014 0:00,12.06896552,27.9,33.36585366,29.95081967,54.95454545,21,20.26666667,31.39393939,87.70909091,63.84,75.09473684,35.30434783,0.073
3/4/2014 0:00,24.56896552,37.2,41.70731707,34.2295082,49.31818182,20,22.8,31.39393939,86.49090909,63.84,80.27368421,41.39130435,0
3/5/2014 0:00,16.81034483,33.06666667,43.56097561,32.80327869,56.36363636,15,21.53333333,26.90909091,101.1090909,62.16,82,29.2173913,0
3/6/2014 0:00,16.37931034,33.06666667,37.07317073,31.85245902,40.86363636,13,21.53333333,25.78787879,121.8181818,63,80.27368421,34.08695652,0.051
3/7/2014 0:00,17.24137931,33.06666667,41.70731707,35.18032787,29.59090909,17,15.2,24.66666667,97.45454545,68.04,81.13684211,26.7826087,0
3/8/2014 0:00,13.36206897,16.53333333,21.31707317,19.01639344,21.13636364,0,7.6,6.727272727,76.74545455,76.44,79.41052632,10.95652174,0.07
3/9/2014 0:00,13.79310345,12.4,19.46341463,19.49180328,28.18181818,11,1.266666667,5.606060606,75.52727273,74.76,76.82105263,10.95652174,0
3/10/2014 0:00,16.81034483,24.8,35.2195122,33.75409836,49.31818182,11,21.53333333,24.66666667,103.5454545,63.84,82,20.69565217,0
3/11/2014 0:00,15.0862069,33.06666667,39.85365854,31.85245902,32.40909091,12,20.26666667,25.78787879,99.89090909,66.36,81.13684211,31.65217391,0
3/12/2014 0:00,15.51724138,24.8,38,32.32786885,46.5,21,20.26666667,25.78787879,96.23636364,63,82,34.08695652,0
3/13/2014 0:00,21.12068966,26.86666667,38,38.03278689,63.40909091,18,30.4,24.66666667,101.1090909,65.52,81.13684211,30.43478261,0
3/14/2014 0:00,18.53448276,31,36.14634146,28.52459016,42.27272727,17,27.86666667,24.66666667,92.58181818,68.04,81.13684211,29.2173913,0
3/15/2014 0:00,10.77586207,14.46666667,23.17073171,18.54098361,19.72727273,9,7.6,7.848484848,71.87272727,75.6,79.41052632,8.52173913,0
3/16/2014 0:00,12.5,6.2,14.82926829,17.59016393,25.36363636,8,6.333333333,4.484848485,77.96363636,70.56,79.41052632,8.52173913,0
3/17/2014 0:00,17.24137931,22.73333333,32.43902439,27.09836066,29.59090909,16,21.53333333,24.66666667,95.01818182,62.16,78.54736842,23.13043478,0
3/18/2014 0:00,18.10344828,31,36.14634146,31.37704918,84.54545455,15,17.73333333,25.78787879,102.3272727,65.52,83.72631579,47.47826087,0
